WK,Stimmen,Jahr,Partei
19,3094,2013,AfD
19,497,2013,FREIE WÄHLER
19,1359,2013,Die PARTEI
19,505,2013,Übrige
19,957,2009,Übrige
20,189772,2013,Wahlberechtigte
20,185790,2009,Wahlberechtigte
20,143084,2013,Wähler
20,141650,2009,Wähler
20,1646,2013,Ungültige
20,1881,2009,Ungültige
20,141438,2013,Gültige
20,139769,2009,Gültige
20,47112,2013,CDU
20,43661,2009,CDU
20,53105,2013,SPD
20,33272,2009,SPD
20,3264,2013,FDP
20,11712,2009,FDP
20,9728,2013,DIE LINKE
20,12484,2009,DIE LINKE
20,18399,2013,GRÜNE
20,36381,2009,GRÜNE
20,3352,2013,PIRATEN
20,548,2013,NPD
20,967,2009,NPD
20,4034,2013,AfD
20,427,2013,FREIE WÄHLER
20,1469,2013,Übrige
20,1292,2009,Übrige
21,211824,2013,Wahlberechtigte
21,207016,2009,Wahlberechtigte
21,163950,2013,Wähler
21,163012,2009,Wähler
21,1666,2013,Ungültige
21,1821,2009,Ungültige
21,162284,2013,Gültige
21,161191,2009,Gültige
21,64459,2013,CDU
21,61873,2009,CDU
21,56421,2013,SPD
21,53469,2009,SPD
21,3921,2013,FDP
21,12766,2009,FDP
21,7626,2013,DIE LINKE
21,10805,2009,DIE LINKE
21,19343,2013,GRÜNE
21,21268,2009,GRÜNE
21,3559,2013,PIRATEN
21,610,2013,NPD
21,1010,2009,NPD
21,5708,2013,AfD
21,637,2013,FREIE WÄHLER
22,218797,2013,Wahlberechtigte
22,217147,2009,Wahlberechtigte
22,147153,2013,Wähler
22,150049,2009,Wähler
22,1960,2013,Ungültige
22,2126,2009,Ungültige
22,145193,2013,Gültige
22,147923,2009,Gültige
22,54002,2013,CDU
22,53958,2009,CDU
22,58029,2013,SPD
22,51460,2009,SPD
22,2783,2013,FDP
22,11408,2009,FDP
22,9594,2013,DIE LINKE
22,14021,2009,DIE LINKE
22,9320,2013,GRÜNE
22,13914,2009,GRÜNE
22,3328,2013,PIRATEN
22,1374,2013,NPD
22,1972,2009,NPD
22,1190,2009,ödp
22,6026,2013,AfD
22,737,2013,FREIE WÄHLER
23,221887,2013,Wahlberechtigte
23,219191,2009,Wahlberechtigte
23,142704,2013,Wähler
23,143119,2009,Wähler
23,2089,2013,Ungültige
23,2355,2009,Ungültige
23,140615,2013,Gültige
23,140764,2009,Gültige
23,50044,2013,CDU
23,46303,2009,CDU
23,56867,2013,SPD
23,54965,2009,SPD
23,2234,2013,FDP
23,10727,2009,FDP
23,10595,2013,DIE LINKE
23,14430,2009,DIE LINKE
23,9088,2013,GRÜNE
23,11728,2009,GRÜNE
23,3198,2013,PIRATEN
23,1446,2013,NPD
23,2111,2009,NPD
23,637,2013,ödp
23,500,2009,BüSo
23,5448,2013,AfD
23,727,2013,FREIE WÄHLER
23,331,2013,Übrige
24,190987,2013,Wahlberechtigte
24,189804,2009,Wahlberechtigte
24,134256,2013,Wähler
24,132885,2009,Wähler
24,2217,2013,Ungültige
24,2439,2009,Ungültige
24,132039,2013,Gültige
24,130446,2009,Gültige
24,42737,2013,CDU
24,33706,2009,CDU
24,66348,2013,SPD
24,57876,2009,SPD
24,2085,2013,FDP
24,9314,2009,FDP
24,6373,2013,DIE LINKE
24,13213,2009,DIE LINKE
24,12627,2013,GRÜNE
24,14451,2009,GRÜNE
24,1886,2009,NPD
24,1869,2013,FREIE WÄHLER
25,232784,2013,Wahlberechtigte
25,231076,2009,Wahlberechtigte
25,166959,2013,Wähler
25,164653,2009,Wähler
25,2096,2013,Ungültige
25,2392,2009,Ungültige
25,164863,2013,Gültige
25,162261,2009,Gültige
25,90236,2013,CDU
25,73405,2009,CDU
