WK;Name;#Erst;#Zweit
27;FDP;2797;6929
27;GRÜNE;10651;11556
27;DIE LINKE;4933;6359
27;PIRATEN;2166;2143
27;NPD;1288;1175
27;Tierschutzpartei;-;1196
27;MLPD;-;21
27;AfD;3571;4840
27;pro Deutschland;-;169
27;REP;-;102
27;FREIE WÄHLER;903;673
27;PBC;-;137
27;K:Gums;616;-
28;Wahlberechtigte;193643;193643
28;Wähler;144923;144923
28;Ungültige;1502;1708
28;Gültige;143421;143215
28;CDU;63174;57243
28;SPD;53660;47413
28;FDP;1359;5235
28;GRÜNE;9729;13708
28;DIE LINKE;7195;8008
28;PIRATEN;2516;2655
28;NPD;1289;1321
28;Tierschutzpartei;-;1250
28;MLPD;-;58
28;AfD;4499;5487
28;pro Deutschland;-;165
28;REP;-;90
28;FREIE WÄHLER;-;392
28;PBC;-;190
29;Wahlberechtigte;167867;167867
29;Wähler;122823;122823
29;Ungültige;1317;994
29;Gültige;121506;121829
29;CDU;54448;53163
29;SPD;49301;38018
29;FDP;2097;4930
29;GRÜNE;6026;10332
29;DIE LINKE;4758;5572
29;PIRATEN;1875;1722
29;NPD;1617;1275
29;Tierschutzpartei;-;1028
29;MLPD;-;22
29;AfD;-;4586
29;pro Deutschland;-;143
29;REP;-;68
29;FREIE WÄHLER;1384;796
29;PBC;-;174
30;Wahlberechtigte;194856;194856
30;Wähler;152819;152819
30;Ungültige;1416;1219
30;Gültige;151403;151600
30;CDU;68458;64905
30;SPD;47908;42915
30;FDP;5110;7382
30;GRÜNE;10754;14078
30;DIE LINKE;5472;6641
30;PIRATEN;2376;2499
30;NPD;1112;1193
30;Tierschutzpartei;-;1366
30;MLPD;-;33
30;AfD;8704;9069
30;pro Deutschland;-;141
30;REP;-;74
30;FREIE WÄHLER;1509;1145
30;PBC;-;159
31;Wahlberechtigte;179069;179069
31;Wähler;133574;133574
31;Ungültige;1375;1158
31;Gültige;132199;132416
31;CDU;52644;48756
31;SPD;44491;38415
31;FDP;2112;5281
31;GRÜNE;15918;18892
31;DIE LINKE;7784;9202
31;PIRATEN;2879;3000
31;NPD;1240;1145
31;Tierschutzpartei;-;1081
31;MLPD;-;30
31;AfD;4925;5852
31;pro Deutschland;-;136
31;REP;-;47
31;FREIE WÄHLER;-;402
31;PBC;206;177
32;Wahlberechtigte;197532;197532
32;Wähler;144853;144853
32;Ungültige;1390;1120
32;Gültige;143463;143733
32;CDU;76179;68972
32;SPD;46365;42214
32;FDP;2546;6599
32;GRÜNE;8330;11046
32;DIE LINKE;5162;5783
32;PIRATEN;2526;2188
32;NPD;1135;968
32;Tierschutzpartei;-;801
32;MLPD;-;23
32;AfD;-;4060
32;pro Deutschland;-;121
32;REP;-;36
32;FREIE WÄHLER;816;478
32;PBC;404;444
33;Wahlberechtigte;194231;194231
33;Wähler;142840;142840
33;Ungültige;1919;1641
33;Gültige;140921;141199
33;CDU;64416;60754
33;SPD;49059;43099
33;FDP;3934;5874
33;GRÜNE;12568;15390
33;DIE LINKE;5840;7188
33;PIRATEN;3102;2794
33;NPD;884;652
33;Tierschutzpartei;-;815
33;MLPD;-;33
33;AfD;-;3765
33;pro Deutschland;-;88
33;REP;-;49
33;FREIE WÄHLER;828;472
33;PBC;290;226
34;Wahlberechtigte;195948;195948
34;Wähler;141773;141773
34;Ungültige;1464;1156
34;Gültige;140309;140617
34;CDU;58349;56279
34;SPD;62641;51043
34;FDP;1950;4993
34;GRÜNE;8173;11370
34;DIE LINKE;4649;6006
34;PIRATEN;2693;2108
34;NPD;1854;1216
34;Tierschutzpartei;-;1129
34;MLPD;-;41
34;AfD;-;5514
34;pro Deutschland;-;159
34;REP;-;112
34;FREIE WÄHLER;-;436
34;PBC;-;211
35;Wahlberechtigte;181122;181122
35;Wähler;129867;129867
35;Ungültige;1888;1868
35;Gültige;127979;127999
35;CDU;46650;42910
35;SPD;55711;45441
35;FDP;1889;6043
35;GRÜNE;9876;15718
35;DIE LINKE;6435;7993
35;PIRATEN;2434;2434
35;NPD;-;808
35;Tierschutzpartei;-;988
35;MLPD;143;78
35;AfD;4051;4654
35;pro Deutschland;-;168
35;REP;-;122
35;FREIE WÄHLER;790;505
35;PBC;-;137
36;Wahlberechtigte;193157;193157
36;Wähler;141215;141215
36;Ungültige;1871;1925
36;Gültige;139344;139290
36;CDU;47180;41684
36;SPD;59686;48292
36;FDP;2050;5983
36;GRÜNE;14229;21559
36;DIE LINKE;8657;11129
36;PIRATEN;2937;3113
36;NPD;803;736
36;Tierschutzpartei;-;1171
36;MLPD;-;95
36;AfD;3802;4749
36;pro Deutschland;-;155
36;REP;-;80
36;FREIE WÄHLER;-;398
36;PBC;-;146
37;Wahlberechtigte;232941;232941
37;Wähler;176671;176671
37;Ungültige;1658;1530
37;Gültige;175013;175141
37;CDU;77509;72286
37;SPD;67440;57922
37;FDP;4504;8725
37;GRÜNE;8735;14308
37;DIE LINKE;6220;7931
37;PIRATEN;2232;2516
37;NPD;1619;1487
37;Tierschutzpartei;-;1346
37;MLPD;-;37
37;AfD;5393;7038
37;pro Deutschland;-;210
37;REP;-;185
37;FREIE WÄHLER;1109;937
37;PBC;-;213
37;BIG;252;-
38;Wahlberechtigte;215285;215285
38;Wähler;157058;157058
38;Ungültige;1562;1361
38;Gültige;155496;155697
38;CDU;75369;68568
38;SPD;53237;46931
38;FDP;2091;6478
38;GRÜNE;9563;12071
38;DIE LINKE;5655;7085
38;PIRATEN;-;2673
38;NPD;1677;1511
38;Tierschutzpartei;-;1173
38;MLPD;-;27
38;AfD;6591;7722
38;pro Deutschland;-;144
38;REP;-;149
38;FREIE WÄHLER;1313;982
38;PBC;-;183
39;Wahlberechtigte;217256;217256
39;Wähler;161941;161941
39;Ungültige;1788;1473
39;Gültige;160153;160468
39;CDU;67368;64451
39;SPD;69259;57875
39;FDP;2266;5648
39;GRÜNE;7666;11855
39;DIE LINKE;6810;7575
39;PIRATEN;3063;2833
39;NPD;1937;1524
39;Tierschutzpartei;-;1242
39;MLPD;-;46
39;AfD;-;5786
39;pro Deutschland;-;212
39;REP;-;134
39;FREIE WÄHLER;934;671
39;PBC;850;616
40;Wahlberechtigte;191980;191980
40;Wähler;137839;137839
40;Ungültige;2075;1943
40;Gültige;135764;135896
40;CDU;53726;50937
40;SPD;57484;49411
40;FDP;2496;5985
40;GRÜNE;8202;11428
40;DIE LINKE;6308;7201
40;PIRATEN;2577;2152
40;NPD;-;1271
40;Tierschutzpartei;-;1031
40;MLPD;-;30
40;AfD;4971;5550
40;pro Deutschland;-;150
40;REP;-;104
40;FREIE WÄHLER;-;461
40;PBC;-;185
41;Wahlberechtigte;240409;240409
41;Wähler;182963;182963
41;Ungültige;2067;1672
41;Gültige;180896;181291
41;CDU;75761;69644
41;SPD;78433;65169
41;FDP;2567;7228
41;GRÜNE;9422;16212
41;DIE LINKE;7350;8669
41;PIRATEN;3144;2737
41;NPD;2247;1499
41;Tierschutzpartei;-;1429
41;MLPD;-;53
41;AfD;-;6958
41;pro Deutschland;-;309
41;REP;-;172
41;FREIE WÄHLER;1972;1044
41;PBC;-;168
42;Wahlberechtigte;219571;219571
42;Wähler;164796;164796
42;Ungültige;2451;1799
42;Gültige;162345;162997
42;CDU;68653;63041
42;SPD;66986;59319
42;FDP;2489;5589
42;GRÜNE;13771;14587
42;DIE LINKE;7909;8120
42;PIRATEN;-;2937
42;NPD;2537;1482
42;Tierschutzpartei;-;1208
42;MLPD;-;31
42;AfD;-;5601
42;pro Deutschland;-;384
42;REP;-;92
42;FREIE WÄHLER;-;455
42;PBC;-;151
43;Wahlberechtigte;208990;208990
43;Wähler;152599;152599
43;Ungültige;2208;2618
43;Gültige;150391;149981
43;CDU;55720;53593
43;SPD;70080;58881
43;FDP;1582;5142
43;GRÜNE;6630;11013
43;DIE LINKE;6524;8461
43;PIRATEN;2119;2228
43;NPD;1940;1796
43;Tierschutzpartei;-;1286
43;MLPD;-;39
43;AfD;4548;5938
43;pro Deutschland;-;183
43;REP;-;208
43;FREIE WÄHLER;1248;1046
43;PBC;-;167
44;Wahlberechtigte;193799;193799
44;Wähler;143752;143752
44;Ungültige;1649;1467
44;Gültige;142103;142285
44;CDU;49710;48419
44;SPD;61952;47741
44;FDP;3243;6214
44;GRÜNE;10117;17614
44;DIE LINKE;7119;9527
44;PIRATEN;4012;4169
44;NPD;1032;1038
44;Tierschutzpartei;-;1295
44;MLPD;116;100
44;AfD;3894;5092
44;pro Deutschland;-;127
44;REP;-;97
44;FREIE WÄHLER;908;724
44;PBC;-;128
45;Wahlberechtigte;187425;187425
45;Wähler;133269;133269
45;Ungültige;1927;1494
45;Gültige;131342;131775
45;CDU;58760;54188
45;SPD;50826;45837
45;FDP;1839;4796
45;GRÜNE;6666;9004
45;DIE LINKE;5731;6440
45;PIRATEN;2972;2460
45;NPD;2599;1840
45;Tierschutzpartei;-;1182
45;MLPD;-;38
45;AfD;-;4892
45;pro Deutschland;-;157
45;REP;-;44
45;FREIE WÄHLER;1049;643
45;PBC;331;254
45;K:Hönig;569;-
46;Wahlberechtigte;208311;208311
46;Wähler;149429;149429
46;Ungültige;2599;2165
46;Gültige;146830;147264
46;CDU;61723;55775
46;SPD;62209;55985
46;FDP;2249;6099
46;GRÜNE;7833;10141
46;DIE LINKE;6805;7475
46;PIRATEN;2373;2141
46;NPD;1967;1493
46;Tierschutzpartei;-;1086
46;MLPD;-;33
46;AfD;-;5733
46;pro Deutschland;-;241
46;REP;-;93
46;FREIE WÄHLER;1402;835
46;PBC;-;134
46;K:Baumelt;269;-
47;Wahlberechtigte;222102;222102
47;Wähler;165814;165814
47;Ungültige;1974;1511
47;Gültige;163840;164303
47;CDU;62558;59000
47;SPD;66192;54410
47;FDP;2633;6667
47;GRÜNE;16740;20076
47;DIE LINKE;8581;10432
47;PIRATEN;3219;3173
47;NPD;1730;1280
47;Tierschutzpartei;-;1178
47;MLPD;-;67
47;AfD;-;6121
47;pro Deutschland;-;234
47;REP;-;93
47;FREIE WÄHLER;2187;1427
47;PBC;-;145
48;Wahlberechtigte;256547;256547
48;Wähler;184512;184512
48;Ungültige;2128;1816
48;Gültige;182384;182696
48;SPD;69161;60502
48;CDU;55198;55254
48;GRÜNE;25342;25448
48;DIE LINKE;15186;18502
48;FDP;4171;7168
48;PIRATEN;4849;4756
48;Bündnis 21/RRP;-;119
48;NPD;1403;1400
48;MLPD;207;87
48;AfD;5336;6263
48;pro Deutschland;-;199
48;FREIE WÄHLER;-;398
48;Die PARTEI;1531;959
48;Tierschutzpartei;-;1641
49;Wahlberechtigte;227276;227276
49;Wähler;148510;148510
49;Ungültige;2083;1794
49;Gültige;146427;146716
49;SPD;64276;56702
49;CDU;42067;41205
49;GRÜNE;12325;14566
49;DIE LINKE;13335;14782
49;FDP;2189;4036
49;PIRATEN;3982;3699
49;Bündnis 21/RRP;432;276
49;NPD;2393;2240
49;MLPD;-;69
49;AfD;5428;6044
49;pro Deutschland;-;267
49;FREIE WÄHLER;-;416
49;Die PARTEI;-;590
49;Tierschutzpartei;-;1824
50;Wahlberechtigte;179933;179933
50;Wähler;134447;134447
50;Ungültige;1476;1213
50;Gültige;132971;133234
50;CDU;54175;48728
50;SPD;46907;36432
50;FDP;2883;8401
50;GRÜNE;11931;17485
50;DIE LINKE;8225;10212
50;PIRATEN;4541;4669
50;NPD;743;680
50;REP;-;116
50;Bündnis 21/RRP;-;40
50;Volksabstimmung;-;137
50;ÖDP;-;221
50;MLPD;-;25
50;BüSo;-;17
50;PSG;-;14
50;AfD;2961;4149
50;BIG;-;123
50;pro Deutschland;-;160
50;DIE RECHTE;-;46
50;FREIE WÄHLER;605;555
50;Nichtwähler;-;149
50;PARTEI DER VERNUNFT;-;91
50;Die PARTEI;-;784
51;Wahlberechtigte;228375;228375
51;Wähler;164576;164576
51;Ungültige;3027;2308
51;Gültige;161549;162268
51;CDU;73621;66328
51;SPD;57635;52897
51;FDP;3827;7948
51;GRÜNE;9096;10220
51;DIE LINKE;9418;10538
51;PIRATEN;4543;3712
51;NPD;2153;1697
51;REP;1256;792
51;Bündnis 21/RRP;-;77
51;Volksabstimmung;-;338
51;ÖDP;-;213
51;MLPD;-;26
51;BüSo;-;30
51;PSG;-;30
51;AfD;-;5337
51;BIG;-;111
51;pro Deutschland;-;320
51;DIE RECHTE;-;55
51;FREIE WÄHLER;-;551
51;Nichtwähler;-;225
51;PARTEI DER VERNUNFT;-;104
51;Die PARTEI;-;719
52;Wahlberechtigte;188266;188266
52;Wähler;134521;134521
52;Ungültige;2205;1882
52;Gültige;132316;132639
52;CDU;70649;65417
52;SPD;37444;34895
52;FDP;2921;6543
52;GRÜNE;7511;7336
52;DIE LINKE;5720;6915
52;PIRATEN;3310;3019
52;NPD;1718;1427
52;REP;-;254
52;Bündnis 21/RRP;-;77
52;Volksabstimmung;-;231
52;ÖDP;-;145
52;MLPD;-;18
52;BüSo;-;29
52;PSG;-;44
52;AfD;3043;4652
52;BIG;-;60
52;pro Deutschland;-;251
52;DIE RECHTE;-;26
52;FREIE WÄHLER;-;437
52;Nichtwähler;-;195
52;PARTEI DER VERNUNFT;-;112
52;Die PARTEI;-;556
53;Wahlberechtigte;199550;199550
53;Wähler;145541;145541
53;Ungültige;2765;2070
53;Gültige;142776;143471
53;CDU;71903;63532
53;SPD;48849;42549
53;FDP;2722;7102
53;GRÜNE;6951;8729
53;DIE LINKE;7288;8120
53;PIRATEN;4867;3478
53;NPD;-;1565
53;REP;-;183
53;Bündnis 21/RRP;-;74
53;Volksabstimmung;-;373
53;ÖDP;-;148
53;MLPD;-;31
53;BüSo;-;35
53;PSG;-;40
53;AfD;-;5732
53;BIG;-;67
53;pro Deutschland;-;311
53;DIE RECHTE;-;46
53;FREIE WÄHLER;-;344
53;Nichtwähler;-;238
53;PARTEI DER VERNUNFT;-;122
53;Die PARTEI;-;652
53;K:Babatankuz;196;-
54;Wahlberechtigte;247721;247721
54;Wähler;182970;182970
54;Ungültige;6195;4235
54;Gültige;176775;178735
54;CDU;83598;75521
54;SPD;63676;55089
54;FDP;5390;10235
54;GRÜNE;9822;12264
54;DIE LINKE;7820;9266
54;PIRATEN;6469;3865
54;NPD;-;1769
54;REP;-;245
54;Bündnis 21/RRP;-;108
54;Volksabstimmung;-;407
54;ÖDP;-;221
54;MLPD;-;19
54;BüSo;-;46
54;PSG;-;44
54;AfD;-;6660
54;BIG;-;225
54;pro Deutschland;-;700
54;DIE RECHTE;-;73
54;FREIE WÄHLER;-;747
54;Nichtwähler;-;313
54;PARTEI DER VERNUNFT;-;227
54;Die PARTEI;-;691
55;Wahlberechtigte;245268;245268
55;Wähler;178218;178218
55;Ungültige;3940;2747
55;Gültige;174278;175471
55;CDU;88759;79055
55;SPD;53703;46982
55;FDP;6101;11611
55;GRÜNE;10066;12544
55;DIE LINKE;8166;9075
55;PIRATEN;4894;3826
55;NPD;2589;1702
55;REP;-;191
55;Bündnis 21/RRP;-;94
55;Volksabstimmung;-;473
55;ÖDP;-;213
55;MLPD;-;35
55;BüSo;-;24
55;PSG;-;33
55;AfD;-;7183
55;BIG;-;96
55;pro Deutschland;-;489
55;DIE RECHTE;-;20
55;FREIE WÄHLER;-;576
55;Nichtwähler;-;277
55;PARTEI DER VERNUNFT;-;210
55;Die PARTEI;-;762
56;Wahlberechtigte;191277;191277
56;Wähler;132837;132837
