Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Marcus;Heintel;1976;SPD;201;RP;15
Alexander;Heinz;1978;FDP;;SL;8
Axel;Heinzmann;1946;NPD;289;;
Gerhard;Heinzmann;1940;PBC;;BW;1
Michael;Heinzmann;1969;PBC;;RP;1
Thorsten;Heise;1969;NPD;189;TH;3
Thomas Martin;Heiske;1966;FDP;114;NW;47
Michael;Heitchen;1971;FDP;52;NI;18
Ingo;Helge;1976;NPD;206;RP;6
Hendrik Tilmann;Heller;1986;NPD;197;TH;5
Uda Carmen Freia;Heller;1951;CDU;75;ST;2
Harald;Helling;1958;SPD;;NI;45
Katrin;Helling;1986;FDP;139;NW;28
Wolfgang;Hellmich;1958;SPD;147;NW;15
Ronnie;Hellriegel;1978;NPD;258;;
Jan;Helmer;1964;CSU;;BY;34
Dr. Reinhold;Hemker;1944;SPD;129;;
Dennis;Hempel;1983;;78;;
Rolf;Hempelmann;1948;SPD;120;NW;61
Dr. Barbara;Hendricks;1952;SPD;113;NW;9
Rudolf;Henke;1954;CDU;88;NW;41
Walter;Henke;1952;FDP;58;BB;8
Werner;Henn;1957;SPD;278;BW;35
Andreas;Henne;1966;CDU;;HE;31
Stefanie;Henneke;1979;GRÜNE;34;;
Martin;Hennig;1970;BüSo;219;BY;13
Wolff-Eberhard;Hennigs von;1929;CDU;;BW;34
Dr. Rigolf;Henning;1935;NPD;35;;
Dieter;Hennne;1955;FAMILIE;;SL;6
Michael;Hennrich;1965;CDU;262;;
Werner;Henrichs;1938;Volksabst.;99;NW;3
Ursula Maria;Henry;1941;SPD;;SL;13
Norbert;Hense;1990;;284;;
Christoph;Hentzen;1959;FDP;186;HE;20
Clemens;Henzler;1945;CDU;;RP;35
Dr. Ernst Albert;Herbert;1952;MLPD;102;;
Sibylle;Herbert;1942;FDP;;HE;31
Stefan;Herbert;1965;VIOLETTEN;;BW;7
Dr. Ulrich;Herbert;1952;FDP;238;BY;17
Bettina;Herlitzius;1960;GRÜNE;89;NW;13
Petra;Hermann;1960;FDP;121;NW;42
Winfried;Hermann;1952;GRÜNE;290;BW;6
Stefan;Hermes;1967;PIRATEN;;HE;4
Hans-Dieter;Herold;1951;GRÜNE;240;;
Bärbel;Herr;1948;REP;;BY;6
Dr. Dietrich;Herrmann;1962;GRÜNE;160;;
Jürgen;Herrmann;1962;CDU;137;;
Detlef;Hertz;1967;DIE LINKE;;NW;31
Christine;Hertzler-Zimmer;1966;SPD;;SL;26
Monica;Herz;1956;;226;;
Franz;Herzig;1950;CDU;;HE;33
Gustav;Herzog;1958;SPD;210;RP;4
Konrad Rudolf;Heß;1939;FAMILIE;;RP;6
Marion;Heß;1967;FDP;259;BW;24
Petra;Heß;1959;SPD;192;TH;4
Klaus-Peter;Hesse;1967;CDU;;HH;9
Peter;Hettlich;1959;GRÜNE;152;;
Ingrid;Hetz;1956;VIOLETTEN;228;BY;3
Markus;Heurung;1977;PIRATEN;251;;
Walter;Heuser;1936;DIE LINKE;101;;
Ansgar;Heveling;1972;CDU;111;;
Matthias;Heyder;1972;NPD;69;ST;1
Dr. Jürgen;Heydrich;1933;REP;;NW;2
Hannah;Heyenn;1982;DIE LINKE;;HH;5
Bernd Reinhold Gerhard;Heynemann;1954;CDU;70;ST;9
Wolfgang;Hiebinger;1946;BP;;BY;24
Antje;Hiekisch;1977;NPD;;SN;2
Michael Siegmund Reinhard;Hien;1987;CSU;;BY;44
Uwe;Hiksch;1964;DIE LINKE;238;;
Karl Willi Arthur;Hilburger;1947;RRP;;BY;5
Anna-Maria;Hildebrand;1985;BüSo;81;BE;8
Arne;Hildebrandt;1985;PIRATEN;;BB;4
Robert;Hildebrandt;1983;PIRATEN;;TH;5
Frank;Hilgenkamp;1972;GRÜNE;147;;
Rainer;Hilgert;1953;ödp;;RP;1
Axel;Hilker;1967;GRÜNE;;SH;12
Hans-Kurt;Hill;1950;DIE LINKE;298;;
Dirk;Hillbrecht;1972;PIRATEN;;NI;1
Heinz;Hillebrand;1954;DIE LINKE;104;;
Gabriele;Hiller-Ohm;1953;SPD;11;SH;4
Ernst;Hinsken;1943;CSU;231;;
Henning;Hintze;1942;DIE LINKE;221;BY;16
Peter;Hintze;1950;CDU;103;NW;4
Petra;Hinz;1962;SPD;121;NW;32
Priska;Hinz;1959;GRÜNE;173;HE;1
Cornelia;Hirsch;1980;DIE LINKE;192;TH;5
Christian;Hirte;1976;CDU;190;TH;4
Thomas;Hitschler;1982;SPD;;RP;32
Robert;Hochbaum;1954;CDU;167;;
Stephan;Hochstein;1983;BüSo;141;NW;9
Heidrun;Höche;1959;VIOLETTEN;;BW;10
Manuel;Höferlin;1973;FDP;207;RP;5
Ulrike;Höfken-Deipenbrock;1955;GRÜNE;203;RP;1
Inge;Höger;1950;DIE LINKE;134;NW;3
Dr. Eva;Högl;1969;SPD;76;BE;7
Jörg;Höhfeld;1944;GRÜNE;142;;
Bärbel;Höhn;1952;GRÜNE;118;NW;1
Renate;Höhne;1956;MLPD;;NW;21
Dr. Barbara;Höll;1957;DIE LINKE;153;SN;3
Ingrid;Hönlinger;1964;GRÜNE;265;BW;9
Michael Hans;Höntsch;1954;DIE LINKE;42;NI;29
Manfred;Hörner;1951;MLPD;;BY;9
Rüdiger;Hoersch;1964;RRP;;SL;1
Heinz-Jürgen;Hörster;1949;DIE LINKE;99;NW;26
Joachim;Hörster;1945;CDU;205;RP;1
Andreas Christian;Höveler;1944;DVU;;NW;4
Heinrich;Hövelmann;1956;FAMILIE;;NW;12
Jan;Hövener;1966;;55;;
Heiner;Höving;1960;DVU;;ST;1
Ulrich;Höwing;1983;;140;;
Elke;Hoff;1957;FDP;198;RP;3
Dr. Bettina;Hoffman;1960;GRÜNE;;HE;9
Dieter;Hoffmann;1965;GRÜNE;;SL;3
Hans-Viktor;Hoffmann;1943;FDP;;BB;7
Dr. Ludwig;Hoffmann;1937;BüSo;;BW;4
Rolf;Hoffmann;1935;;7;;
Susanne;Hoffmann;1960;NPD;281;;
Timo;Hoffmann;1978;BüSo;;BE;11
Ulrich;Hoffmann;1962;ödp;253;BY;2
Michael;Hoffmeier;1969;GRÜNE;189;TH;6
Axel;Hofmann;1944;DIE LINKE;100;;
Frank;Hofmann;1949;SPD;250;BY;11
Frank;Hofmann;1957;BP;250;;
Franziska;Hofmann;1948;CM;;BY;10
Friedrich;Hofmann;1954;MLPD;;TH;3
Dr. Anton;Hofreiter;1970;GRÜNE;222;BY;4
Hermann;Hofstetter;1962;ödp;225;BY;21
Ruth;Hohenadl;1960;FDP;218;BY;27
Anna Helga Angela;Hohmann;1963;SPD;;NI;44
Michael;Holl;1990;;251;;
Karin;Hollack;1940;NPD;48;;
Karl;Holmeier;1956;CSU;234;;
Ingeborg;Holst;1938;Tierschutz;;BW;1
Angela Brigitte;Holz;1979;SPD;;NI;38
Franz-Josef;Holzenkamp;1960;CDU;33;NI;30
Malte;Holzer;1965;NPD;32;NI;5
Birgit;Homburger;1965;FDP;287;BW;1
Gerhard;Honsel;1946;FAMILIE;;NW;7
Dr. Wielant;Hopfner;1942;NPD;250;BY;5
Ulrich;Hopmann;1953;SPD;;NW;64
Siegmund;Hoppe;1953;PIRATEN;;HH;3
Thilo;Hoppe;1958;GRÜNE;25;NI;4
Margaret;Horb;1967;CDU;;BW;18
Rainer;Horbas;1970;FDP;152;;
Waldemar;Horn;1973;NPD;214;;
Mirco;Hornig;1973;REP;;NW;16
Cornelia;Hornung;1975;SPD;;HE;24
Fritz-Walter;Hornung;1957;DIE LINKE;181;;
Nicole;Hornung;1958;PIRATEN;186;HE;7
Sophia;Horz-Hövel;1963;GRÜNE;;HE;15
Bettina;Houben;1960;FDP;96;NW;36
Dr. Guido;Hoyer;1968;DIE LINKE;215;BY;14
Dr. Werner;Hoyer;1951;FDP;95;NW;4
André Torsten;Hubatschek;1965;FDP;166;SN;8
Edda;Huber;1938;Tierschutz;;BY;5
Judith;Huber;1963;SPD;;BE;13
Jürgen;Huber;1954;GRÜNE;233;;
Klaus;Huber;1942;FAMILIE;;BY;5
Konrad;Huber;1967;REP;256;BY;8
Martin;Huber;1960;REP;;BY;9
Ute;Hubig;1947;CDU;;SL;10
Anette;Hübinger;1955;CDU;296;SL;2
Bernd Michael;Hübner;1961;DIE LINKE;123;;
Klaas;Hübner;1967;SPD;72;;
Johannes;Hühnlein;1984;NPD;248;;
Robert;Huemer;1967;ödp;252;BY;22
Hubert;Hüppe;1956;CDU;145;NW;22
Michael;Huffer;1956;DIE LINKE;49;;
Christian;Hufgard;1979;PIRATEN;;HE;3
Roland Wolfgang;Hultsch;1955;BüSo;;SN;12
Christel;Humme;1949;SPD;140;NW;25
Alexander Helmut;Hummel;1977;CSU;;BY;40
Peter;Hummel;1965;BüSo;;HE;5
Thomas;Hummel;1982;BP;;BY;10
Werner;Hummel;1963;FAMILIE;;BY;10
Christian;Hummert;1979;DIE LINKE;;TH;11
Ralph;Hunderlach;1974;PIRATEN;;BY;8
Andrej Konstantin;Hunko;1963;DIE LINKE;88;NW;6
Jelica;Hunner;1960;BP;;BY;25
Johann;Hunner;1941;BP;;BY;26
Vera;Hupe;1959;ödp;;TH;6
Martina;Hurst;1982;CDU;;BW;23
Monica;Hussinger;1960;FDP;;SL;4
Christian;Huth;1964;BüSo;206;;
Joachim;Huth;1960;BüSo;24;;
Richard;Igelmann;1977;DVU;;NI;5
Klaus-Dieter;Ilius;1948;MLPD;;BE;5
Petra;Ilius;1950;MLPD;85;BE;3
Danial;Ilkhanipour;1981;SPD;21;;
Jörg Joachim;Irion;1939;MLPD;;BB;3
Philipp;Irmscher;1988;FDP;237;BY;42
Thomas;Iseke;1963;FDP;44;NI;21
Figen;Izgin;1965;DIE LINKE;82;BE;7
Gerlind Annemarie;Jackowski;1944;ödp;;NI;4
Ulf;Jäger;1964;DIE LINKE;125;;
Jan;Jaeschke;1990;NPD;274;;
Dr. Eva;Jager;1950;FDP;;HE;34
Stefan;Jagsch;1986;NPD;179;HE;5
Andreas;Jahn;1955;NPD;184;;
Kirsten;Jahn;1976;GRÜNE;;NW;25
Franz;Jansen;1935;;202;;
Cornelius Heinrich;Janßen;1965;FDP;154;SN;9
Jan;Janssen;1971;;9;;
Michael;Janssen;1985;NPD;111;;
Richard;Janus;1970;GRÜNE;190;TH;7
Hans-Werner;Jarmer;1958;ZENTRUM;1;;
Thomas;Jarzombek;1973;CDU;107;NW;44
Erich;Jaschkowski;1952;;74;;
Dr. Dieter;Jasper;1962;CDU;129;NW;39
Dorothea;Jauernig;1938;MLPD;261;BW;8
Jochen;Jehle;1968;SPD;293;BW;33
Ursula;Jelpke;1951;DIE LINKE;144;NW;2
Reiner;Jenkel;1950;DIE LINKE;131;;
Kai;Jennerjahn;1983;Tierschutz;;BE;5
Karina Annemarie;Jens;1958;CDU;;MV;10
Dr. Nils;Jensen;1975;ödp;;HH;9
Jens;Jenssen;1979;SPD;;RP;29
Anneliese;Jenter;1953;SPD;294;BW;32
Thomas;Jepsen;1973;CDU;;SH;19
Marieluise;Jeschke;1935;REP;;BE;2
Elke;Jesinghausen;1955;CDU;;HE;43
Heinz-Werner;Jezewski;1958;DIE LINKE;1;SH;6
Dr. Lukrezia Luise;Jochimsen;1936;DIE LINKE;;TH;2
Mathias;Jochum;1981;CDU;;SL;20
Bruno;Jöbkes;1967;GRÜNE;113;;
Wolfgang;Jöckle;1950;ödp;;RP;5
Sven Wolfgang;Jörns;1970;PIRATEN;;SH;4
Silke;Johanning-Sturm;1976;CDU;;NI;45
Norbert;Johannpötter;1972;ödp;;NW;11
Gisela;Johlke;1945;GRÜNE;90;;
Robin;John;1976;FDP;163;;
Rüdiger;John;1977;ödp;;RP;16
Siegmar;John;1939;BüSo;158;SN;11
Arnold Peter;Joosten;1982;SPD;;RP;16
Dr. Hans-Heinrich;Jordan;1948;CDU;67;ST;5
Ingrid;Jost;1948;DIE LINKE;;NW;27
Dr. Ingo;Juchler;1962;SPD;272;;
Ludwig;Jürgens;1942;SPD;;NI;51
Dr. Egon;Jüttner;1942;CDU;275;BW;14
Johannes;Jüttner;1966;REP;;BY;5
Gert;Julius;1936;DKP;;BE;8
Jörg;Juner;1967;SPD;;RP;26
Andreas;Jung;1975;CDU;287;;
Dr. Franz Josef;Jung;1949;CDU;184;HE;1
Gabriele;Jung;1965;GRÜNE;;SL;4
Johannes;Jung;1967;SPD;271;BW;19
Manuela;Jung;1960;Tierschutz;;NI;3
Sabine;Jung;1960;SPD;;SL;8
Walter;Jung;1950;FDP;202;RP;14
Xaver;Jung;1962;CDU;210;RP;14
Jörg;Jungmann;1952;DIE LINKE;179;HE;6
Franziska;Junker;1963;DIE LINKE;26;NI;26
Luzian Bernd;Junkereit;1969;DIE LINKE;135;;
Josip;Juratovic;1959;SPD;267;BW;15
Dirk;Just;1973;GRÜNE;210;;
Jens;Kabisch;1984;SPD;152;SN;11
Oliver;Kaczmarek;1970;SPD;145;NW;48
Arne;Kaehne;1977;NPD;2;;
Gabriele;Kaenders;1951;DIE LINKE;;NW;25
Martina;Kaesbach;1964;FDP;;HH;4
Alexander;Kästner;1975;CDU;197;TH;8
Toni;Kästner;1985;BüSo;161;SN;2
Dr. Hartmut Herrmann;Kahl;1981;GRÜNE;165;SN;4
Michèle;Kahl;1985;GRÜNE;;NI;15
Yazgülü;Kahraman-Meister;1962;MLPD;;NW;4
Johannes;Kahrs;1963;SPD;19;;
Werner;Kainz;1963;VIOLETTEN;;BY;6
Brigitte Ottilie;Kaiser;1944;RRP;29;NI;8
Christa;Kaiser;1953;BüSo;220;BY;2
Gerhard;Kaiser;1954;SPD;;HE;40
Manfred;Kaiser;1968;ödp;;TH;8
Peter;Kaiser;1971;FDP;;RP;22
Sandra;Kaiser;1974;ödp;;TH;10
Bartholomäus;Kalb;1949;CSU;227;;
Artur;Kalka;1969;Tierschutz;;BE;1
Patrick;Kallweit;1985;NPD;53;NI;4
Uwe;Kallweit;1955;NPD;46;;
Dr. Helmut;Kaltenhauser;1961;FDP;247;BY;22
Norman;Kalteyer;1965;DIE LINKE;184;;
Uwe;Kaltschmid;1956;Volksabst.;;BW;7
Ali;Kamburoglu;1958;;76;;
Maren;Kaminski;1979;DIE LINKE;40;;
Hans-Werner;Kammer;1948;CDU;27;NI;13
Jürgen;Kammer;1962;PIRATEN;;SL;4
Rochus;Kammer;1956;FDP;;BY;33
Günther;Kammerer;1963;FDP;230;BY;46
Heiner;Kamp;1964;FDP;132;NW;19
Steffen;Kampeter;1963;CDU;135;NW;8
Steffen;Kanitz;1984;CDU;143;NW;52
Olcay;Kanmaz;1957;DIE LINKE;198;;
Harald;Kanneder;1965;;231;;
Ahmet;Kansiz;1963;;185;;
Helena;Kapp;1951;CDU;;BW;29
Thomas;Karcher;1978;;219;;
Alois;Karl;1950;CSU;232;;
Andreas;Karl;1963;NPD;74;ST;4
Ilja Bertold;Karpowski;1981;BüSo;97;NW;6
Dr. Detleff;Karstens;1941;PBC;52;;
Stefan;Karstens;1981;DIE LINKE;4;;
Andreas;Kaschke;1967;NPD;97;;
Heidi;Kaschner;1955;DIE LINKE;;BY;19
Suat;Kasem;1988;PIRATEN;233;;
Jacqueline;Kasper;1978;NPD;123;;
Bernhard Nikolaus;Kaster;1957;CDU;204;RP;3
Susanne;Kastner;1946;SPD;248;BY;2
Ilse;Kather;1948;MLPD;;BE;4
Michael;Kauch;1967;FDP;143;NW;10
Siegfried;Kauder;1950;CDU;286;;
Volker;Kauder;1949;CDU;285;BW;3
Johanna;Kaufmann;1940;ödp;263;;
Dr. Stefan;Kaufmann;1969;CDU;258;;
Thomas;Kauper;1960;PBC;;BY;7
Titus-Ivo;Kaute;1952;;79;;
Uwe Adolf Otto;Kekeritz;1953;GRÜNE;243;BY;10
Ulrich;Kelber;1968;SPD;97;NW;16
Christian;Keller;1976;SPD;;NI;59
Hartmut;Keller;1941;RENTNER;;SH;1
Thomas;Keller;1959;FDP;50;NI;24
Hans-Jürgen;Kemmerle;1953;DIE LINKE;265;BW;20
Ulrike;Kepper-Grämer;1956;FDP;;HE;37
Jens;Keppler;1966;NPD;284;;
Michael;Kerber;1978;NPD;285;;
Daniel;Kern;1983;CDU;;RP;34
Bärbel;Kersken;1964;MLPD;;TH;7
Gerd;Kersting;1956;ödp;;NW;1
Sieglinde;Kersting;1957;ödp;;NW;5
Ulrike Josefine;Kessing;1965;GRÜNE;102;;
Ilko;Keßler;1971;SPD;157;SN;12
Achim Robert;Keßler-Binder;1938;DIE VIOLETTEN;10;;
Thomas;Kestler;1975;GRÜNE;241;;
Katja;Keul;1969;GRÜNE;41;NI;5
Nader;Khalil;1968;CDU;;BE;13
Susanne;Kieckbusch;1961;GRÜNE;295;BW;19
Dr. Reinhold;Kiehl;1947;;234;;
Franz Xaver;Kieninger;1964;REP;;BY;11
Dr. Cornelia;Kienzer;1957;Freie Union;222;;
Roderich;Kiesewetter;1963;CDU;270;;
Thomas;Kik;1965;REP;;NW;10
Memet;Kilic;1967;GRÜNE;279;BW;10
Lutz;Kind;1961;;12;;
Ralf;Kindelmann;1976;CSU;;BY;51
Sven-Christian;Kindler;1985;GRÜNE;36;NI;6
Anja;Kindo;1966;DIE LINKE;27;NI;24
Katja;Kipping;1978;DIE LINKE;160;SN;1
Andreas;Kirchgeßner;1959;DIE LINKE;284;BW;14
Dr. Josef;Kirchmann;1946;BP;256;BY;4
Bruno Josef;Kirchner;1953;NPD;102;;
Gertrud;Kirf;1957;SPD;;SL;23
Martina;Kirsch;1973;FDP;;SL;10
Frank;Kirstan;1965;SPD;;BE;11
Hakan;Kisa;1975;GRÜNE;;BY;24
Thomas;Kistermann;1970;MLPD;;NW;13
Stefan;Kisters;1966;GRÜNE;214;;
Manfred;Kitzberger;1959;REP;;BY;7
Eckart Peter Hans;Klaeden von;1965;CDU;49;NI;2
Simon;Klages;1969;PIRATEN;;HE;2
Olaf;Klampe;1955;FDP;7;SH;10
Ewa;Klamt;1950;CDU;46;NI;15
Guido;Klamt;1970;ödp;265;;
Olaf;Klanke;1967;NPD;42;;
Wolfgang;Klare;1966;FDP;138;NW;58
Andreas;Klaschka;1958;FDP;189;TH;5
Anne;Klatt;1982;GRÜNE;16;MV;5
Helmut;Klaus;1949;REP;;BY;17
Werner;Klawun;1942;NPD;27;;
Anne Käthe;Kleffel;1951;MLPD;;NI;2
Kurt-Peter;Kleffel;1953;MLPD;42;NI;6
Christian;Kleiminger;1965;SPD;14;;
Achim;Klein;1952;ödp;17;;
Martin;Klein;1959;DIE LINKE;205;;
Rosalinde;Klein;1941;CM;;BY;1
Volkmar;Klein;1960;CDU;149;NW;32
Maria Anna;Klein-Schmeink;1958;GRÜNE;130;NW;11
Thea;Kleinert;1966;DIE LINKE;;HB;3
Renate;Kleinfeld;1952;SPD;;HH;8
Dr. Peter;Kleinmann;1956;CDU;;SL;8
Alexander;Kleist;1984;FDP;;SL;9
Horst Karl Hermann;Klemke;1937;RENTNER;;NW;12
Jan;Klemkow;1988;PIRATEN;;MV;3
Heidrich Torwald;Klenhart;1975;NPD;232;BY;10
Thomas;Kleppe;1962;PBC;;HB;3
Jürgen;Klimke;1948;CDU;23;HH;2
Lars;Klingbeil;1978;SPD;36;NI;7
Marcel;Klinge;1980;FDP;286;BW;29
Harald;Klingenberg;1950;Freie Union;66;;
Wolfgang;Klinger;1961;DIE LINKE;115;;
Andreas;Klingner;1961;;156;;
Peter;Klis;1956;;174;;
Hubert;Klodt;1951;FDP;129;NW;25
Julia;Klöckner;1972;CDU;202;RP;6
Hans-Ulrich;Klose;1937;SPD;24;;
Dr. Michael;Klotzbücher;1951;FDP;288;BW;22
Mario;Klotzsche;1977;FDP;175;HE;21
Astrid;Klug;1968;SPD;299;SL;3
Christoph Augustinus;Klug;1950;MLPD;;NW;27
Hans-Robert;Klug;1972;NPD;199;;
Andy;Knape;1986;NPD;67;;
Adolf;Knapp;1952;DIE LINKE;178;;
Martin;Knauber;1963;FDP;112;NW;54
Detlef;Knauer;1958;GRÜNE;44;;
Daniel;Knebel;1984;NPD;180;HE;4
Peter Erich;Knitsch;1960;GRÜNE;105;;
Matthias;Knoche;1961;GRÜNE;172;HE;8
Monika;Knoche;1954;DIE LINKE;159;SN;9
Rolf Bernhard;Knocke;1953;DIE LINKE;;NW;33
Sieglinde;Knöchner;1953;DIE LINKE;224;BY;13
Axel;Knoerig;1967;CDU;34;NI;26
Dr. Per;Knöß;1977;FDP;204;;
Carmen;Knollmann;1956;CDU;139;NW;37
Dr. Lutz;Knopek;1958;FDP;54;NI;9
Thorsten;Knott;1974;FDP;99;NW;29
Frank;Knuffke;1965;NPD;;BB;11
Gerd;Kobe;1948;REP;;BW;13
Pascal;Kober;1971;FDP;289;BW;13
Christian;Koch;1971;PIRATEN;;NI;2
Harald;Koch;1954;DIE LINKE;75;ST;6
Helga;Koch;1956;SPD;241;BY;20
Torsten;Koch;1967;GRÜNE;52;;
Ute Maria Christine;Koczy;1961;GRÜNE;136;NW;7
Heiko;Köhler;1974;NPD;265;;
Dr. Kristina;Köhler;1977;CDU;179;HE;8
Renate Erna;Köhler;1938;DVU;;SH;1
Ulrich-Günther;Koehler;1954;FDP;70;;
Werner;Köhler;1955;GRÜNE;29;NI;16
Annette;Köhn;1976;;83;;
Christian;Kölle;1952;MLPD;;HH;6
Marion Monika Ingrid;Köllner;1952;DIE LINKE;;NI;16
Werner;Köllner;1954;DKP;;BE;7
Josef;König;1966;FDP;;BY;47
Roland;König;1966;FDP;296;SL;3
Ulrich;König;1981;PIRATEN;;SH;3
Thomas;Koenigs;1944;GRÜNE;174;HE;4
Hellmut Georg Richard;Königshaus;1950;FDP;85;BE;3
Wolf-Dieter;Könnecke;1966;;55;;
Christian;Köpp;1986;GRÜNE;278;;
Daniel;Köppen;1984;BüSo;77;BE;4
Jens;Koeppen;1962;CDU;58;BB;4
Sebastian;Körber;1980;FDP;236;BY;9
Julia;Koerlin;1954;SPD;;HE;32
Georg;Körndl;1958;BüSo;;BY;16
Frank;Körner;1962;NPD;171;;
Steve;Körner;1979;PBC;167;;
Fritz Rudolf;Körper;1954;SPD;202;RP;5
Anton;Köschinger;1961;DVU;;HE;2
Hamiyet;Köse;1960;DIE LINKE;;HH;7
Michael;Koesling;1976;FAMILIE;111;NW;9
Stefan;Köster;1973;NPD;12;;
Hans Henning;Köster-Sollwedel;1949;DIE LINKE;172;HE;8
Andrea;Kötter;1964;SPD;;NI;58
Anja;Kofbinger;1960;GRÜNE;83;BE;5
Dr. Bärbel;Kofler;1967;SPD;225;BY;16
Hauke;Koglin;1988;NPD;;HB;5
Horst;Kohl;1944;PBC;;BY;11
Hans August;Kohle;1935;CDU;;BW;55
Sascha;Kohlmann;1975;CDU;;RP;27
Manuela;Kokott;1968;NPD;66;BB;3
Mirco;Kolarczik;1984;DIE LINKE;294;;
Christian;Kolb;1966;GRÜNE;177;HE;20
Dr. Heinrich Leonhard;Kolb;1956;FDP;187;HE;3
Michael;Kolb;1974;CDU;;BW;33
Anja;Kolbe;1980;FDP;192;TH;3
Daniela;Kolbe;1980;SPD;153;SN;4
Manfred Lothar;Kolbe;1953;CDU;152;;
Alexander Ludwig;Kolbeck;1965;FAMILIE;;BY;1
Dagmar Marie;Kolkmann-Lutz;1953;MLPD;;SN;4
Ingo;Kolmorgen;1972;GRÜNE;109;;
Cindy;Kolter;1973;DIE LINKE;94;NW;28
Dr. Fred;Konrad;1961;GRÜNE;211;RP;4
Torsten;Koplin;1962;DIE LINKE;18;MV;5
Gudrun;Kopp;1950;FDP;136;NW;5
Walter Ernst Wolfgang;Koppe;1957;DIE LINKE;214;;
Jürgen;Koppelin;1945;FDP;3;SH;1
Eva;Korcian;1990;BP;;BY;27
Henrik;Kordes;1948;MLPD;;HE;3
Patrick Alexander;Korfmann;1980;REP;230;;
Ina;Korntreff;1967;MLPD;72;ST;2
Stefanie;Korntreff;1986;MLPD;;TH;2
Jan;Korte;1977;DIE LINKE;72;ST;2
Prof. Dr. Niels;Korte;1969;CDU;85;BE;12
Karin;Kortmann;1959;SPD;108;NW;24
Dietmar;Koschmieder;1955;DKP;;BE;13
Dr. Rolf;Koschorrek;1956;CDU;3;SH;8
Hartmut;Koschyk;1959;CSU;237;;
Margot;Kosmanek;1933;CDU;;BW;45
Heiko;Kosow;1947;GRÜNE;148;;
Thoralf;Koß;1964;GRÜNE;156;;
Dr. Volker;Koß;1949;GRÜNE;11;;
Philip;Kossack;1989;GRÜNE;31;;
Thomas;Kossendey;1948;CDU;28;NI;5
Sylvia;Kotting-Uhl;1952;GRÜNE;271;BW;3
Emanuel;Kotzian;1972;PIRATEN;244;;
Kordula;Kovac;1957;CDU;;BW;12
Stephan-Gerhard;Koziolek;1968;DIE LINKE;;NI;19
Stefan;Krabbes;1987;GRÜNE;71;;
Martin;Krämer;1986;NPD;266;;
Ulrike;Kraemer-Schwinn;1956;DIE VIOLETTEN;97;;
Ursula;Kraft;1953;CDU;;HE;23
Volker;Kraft;1953;MLPD;259;BW;3
Günter;Krafzik;1934;PBC;;BY;4
Benjamin Manuel;Kramer;1978;FDP;188;HE;11
Klaus-Dieter;Kramer;1944;;166;;
Rolf;Kramer;1949;SPD;34;NI;18
Erich;Krames;1934;NPD;201;RP;7
Anette;Kramme;1967;SPD;237;BY;12
Ernst;Kranz;1950;SPD;190;TH;5
Matthias;Kraume;1982;BüSo;121;NW;4
Brian;Krause;1972;GRÜNE;270;;
Dr. Dietrich-Eckard;Krause;1941;FDP;18;MV;7
Hendrik;Krause;1987;PIRATEN;;MV;2
Johannes;Krause;1958;SPD;73;ST;5
Ludwig;Krause;1938;CM;;BY;9
Rainer Eckehard;Krause;1946;FDP;151;NW;60
Steffen;Krause;1976;DVU;;HB;2
Arthur Wolfram;Krauß;1947;;196;;
Reiner;Krauß;1950;PBC;;RP;3
Tanja;Krauth;1968;DIE LINKE;202;;
Jörg;Krebs;1975;NPD;183;HE;1
Matthias;Kreh;1980;SPD;;HE;19
Alexander F.;Kreidemann;1959;NPD;256;;
Horst;Kreil;1938;BüSo;79;BE;7
Andreas;Krell;1955;ödp;;RP;9
Jutta;Krellmann;1956;DIE LINKE;47;NI;5
Marc-Benedict;Kremer;1973;NPD;100;;
Nicolette;Kressl;1958;SPD;273;BW;3
Holger;Krestel;1955;FDP;82;BE;4
Michael;Kretschmer;1975;CDU;158;;
Gunter;Kretzschmann;1951;NPD;112;;
Gunther;Krichbaum;1964;CDU;279;;
Hermann-Josef;Krichel-Mäurer;1962;SPD;110;NW;40
Frank Hartmut;Krien;1956;NPD;167;SN;4
Dr. Günter;Krings;1969;CDU;110;NW;31
Oliver;Krischer;1969;GRÜNE;91;NW;8
Stefan;Krix;1966;ödp;126;;
Walter;Krögner;1963;SPD;;BW;36
Manfred;Krönauer;1974;FDP;;BY;16
Dr. Martina;Krogmann;1964;CDU;31;NI;3
Daniela;Kroll;1971;FWD;;BB;6
Dorothee;Kroll;1955;GRÜNE;93;NW;29
Kilian;Kronimus;1965;ödp;;BW;4
Katarzyna Dorota;Kruczkowski;1979;BüSo;120;NW;1
Dr. Hans-Ulrich;Krüger;1952;SPD;114;NW;36
Jürgen;Krüger;1964;REP;;NW;12
Lasse;Krüger;1989;NPD;;NI;8
Mario;Krüger;1970;PBC;;BY;8
Angelika;Krüger-Leißner;1951;SPD;59;BB;6
Daniel;Krug;1981;NPD;114;;
Dr. Michael;Krug;1960;FDP;;HE;36
Alois;Krumbachner;1953;BüSo;225;BY;17
Agnes;Krumwiede;1977;GRÜNE;217;BY;9
Holger Karsten;Krupp;1982;FDP;;HB;5
Michael;Kruse;1985;PIRATEN;;SH;6
Rüdiger;Kruse;1961;CDU;21;HH;4
Stefan;Krutten;1960;SPD;;SL;17
