Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Hans-Joachim;Bosold;1952;NPD;175;;
Dr. Arnold Klaus Siegmund Georg;Bosse von;1947;GRÜNE;15;;
Karin;Bothe;1965;FDP;;RP;25
Martin;Bothe;1968;Tierschutz;;NI;2
Reiner;Bousonville;1961;GRÜNE;180;;
Stefan Alois;Boxler;1964;GRÜNE;164;SN;6
Nicole;Bracht-Bendt;1959;FDP;37;NI;6
Norbert;Brackmann;1954;CDU;10;SH;11
Klaus Peter;Brähmig;1957;CDU;159;SN;6
Rolf;Bräuer;1955;GRÜNE;46;;
Dr. Lutz;Bräutigam;1968;GRÜNE;242;;
Matthias Walter Heinrich;Brand;1961;FAMILIE;;BY;9
Michael;Brand;1973;CDU;175;HE;18
Sascha;Brandhoff;1982;PIRATEN;;HE;6
Bernd;Brandl;1972;BP;;BY;14
Dr. Reinhard;Brandl;1977;CSU;217;;
Klaus;Brandner;1949;SPD;132;NW;6
Achim;Brandt;1965;Volksabst.;;BW;4
Fridolin;Brandt;1945;DIE LINKE;216;;
Helmut;Brandt;1950;CDU;89;NW;29
Holger Ernst;Brandt;1989;;77;;
Gerald;Branghofer;1983;DVU;;NW;3
Max Erich;Branghofer;1945;DVU;;NW;1
Willi;Brase;1951;SPD;149;NW;5
Stephen;Brauer;1970;FDP;268;BW;18
Dr. Ralf;Brauksiepe;1967;CDU;140;NW;10
Dr. Bernhard;Braun;1958;GRÜNE;208;;
Dr. Helge Reinhold;Braun;1972;CDU;174;HE;10
Petra;Braun;1957;MLPD;126;;
Volker;Braun;1970;NPD;120;;
Manfred;Brauner;1960;DIE LINKE;39;NI;10
von Harald-Ingo;Bredow;1949;BP;;BY;47
Ulrich Johannes;Brehme;1966;ödp;;NI;2
Heike;Brehmer;1962;CDU;69;ST;6
Manfred Helmut;Breidbach;1968;NPD;107;NW;4
Rolf;Breidenbach;1955;FDP;80;BE;11
Klaus;Breil;1945;FDP;226;BY;13
Elke;Breitenbach;1961;DIE LINKE;;BE;9
Thomas Achim;Breitenfellner;1982;CSU;;BY;45
Adolf Wilhelm;Breitmeier;1937;ADM;186;;
Hermann;Brem;1961;GRÜNE;221;BY;16
Klaus;Bremer;1952;MLPD;;HE;4
Dr. Gerd;Brenner;1949;GRÜNE;110;;
Ernst;Brenning;1952;CDU;;BE;10
Harald;Bresch;1962;;67;;
Frank;Bresonik;1969;FAMILIE;;NW;11
Eveline;Breyer;1982;CDU;;RP;38
Dr. Andreas;Brie;1950;DIE LINKE;66;;
Ralph;Brinkhaus;1968;CDU;132;NW;45
Bernhard;Brinkmann;1952;SPD;49;NI;22
Rüdiger;Brocke von;1957;SPD;;SH;18
Benjamin;Brodnicki;1986;DVU;;HB;5
Bernd;Brodtrück;1970;BüSo;;SN;8
Edith;Brömsen;1959;VIOLETTEN;;BY;10
Dieter Manfred;Brose;1943;NPD;61;BB;10
Martin;Broziat;1962;FDP;12;;
Andreas;Brückner;1968;;66;;
Rainer;Brüderle;1945;FDP;206;RP;1
Norbert;Brüggemann;1975;FDP;32;NI;25
Regine;Brüggemann;1956;DIE LINKE;;HH;2
Klaus-Dieter;Brügmann;1951;DIE LINKE;7;;
Monika Minna Marie;Brüning;1951;CDU;;NI;31
Peter Klaus;Brüsemeister;1966;DIE LINKE;234;BY;23
Wolfgang;Bruhn;1961;NPD;99;;
Peter Josef;Brumann;1942;FAMILIE;;NW;10
Doris;Brummer;1960;CDU;;BW;35
Sabine;Brunke-Reubold;1969;GRÜNE;45;NI;9
Angelika;Brunkhorst;1955;FDP;29;NI;4
Josef;Brunner;1950;Freie Union;227;;
Dr. Karl Heinz;Brunner;1953;SPD;255;BY;41
Eckhard Karl Alfred;Bruns;1944;RRP;;NI;6
Michael;Bruns;1973;DIE LINKE;147;NW;16
Jörg;Brunschweiger;1979;VIOLETTEN;;BY;5
Rosi;Brunschweiger;1951;VIOLETTEN;;BY;12
Raffaela;Bubendorfer;1988;FDP;213;BY;20
Klaus;Bucher;1968;FDP;290;BW;32
Christine;Buchholz;1971;DIE LINKE;185;HE;3
Conrad;Buchholz;1982;FDP;180;HE;18
Doris;Buchholz;1959;FDP;;SL;6
Daniel;Buchmann;1981;BüSo;85;BE;2
Sven;Buchmann;1979;;83;;
Prof. Dr. Klaus;Buchner;1941;ödp;;BE;3
Enrico;Buchs;1976;FDP;66;;
Bettina Dorothee;Buchta;1960;MLPD;;HB;4
Josef;Buck;1961;MLPD;275;;
Andreas;Büchner;1982;NPD;108;NW;12
Manfred;Büddemann;1951;DIE LINKE;111;;
Katharina;Büdel;1951;FDP;;RP;29
Tim;Bühner;1978;DIE LINKE;;NW;22
Marco;Bülow;1971;SPD;143;NW;55
Hans-Ulrich;Bünger;1940;DIE LINKE;285;;
Andreas;Büschleb;1972;NPD;44;;
Erika-Marika;Büsing;1964;SPD;;HB;5
Vesna;Buljevic;1954;MLPD;;NW;8
Peter;Bulke;1939;REP;;BW;12
Eva;Bulling-Schröter;1956;DIE LINKE;217;BY;2
Edelgard;Bulmahn;1951;SPD;43;NI;2
Andreas;Bummel;1976;FDP;184;HE;13
Dr. Martina;Bunge;1951;DIE LINKE;12;MV;2
Ursula;Burchardt;1954;SPD;144;NW;27
Ernst;Burgbacher;1949;FDP;285;BW;3
Dr. Thomas;Burger;1970;SPD;;BY;53
Max;Burger-Heidger;1954;GRÜNE;285;;
Dr. Christian;Burholt;1972;CDU;76;BE;8
Karin;Burkart;1950;GRÜNE;296;SL;2
Boris;Burkert;1961;GRÜNE;229;;
Martin;Burkert;1964;SPD;245;BY;13
Karl-Heinz;Burkhardt;1939;DVU;;BE;2
Franz Paul;Burkowski;1930;PBC;;HB;4
Erich Karl;Burmeister;1953;DIE LINKE;122;;
Andreas;Burmester;1978;SPD;;NI;41
Thomas Wolfgang;Bursian;1959;FDP;;RP;24
Yani;Bursukis;1945;SPD;;HE;28
Walter;Busch-Hübenbecker;1951;DIE LINKE;186;;
Marco;Buschmann;1977;FDP;124;NW;20
Boris-Georg;Bussche-Haddenhausen Freiherr von dem;1966;FDP;38;NI;22
Windfried;Bußmann;1951;RENTNER;;NW;3
Brigitte;Butenschön;1949;MLPD;;NI;7
Cajus Julius;Caesar;1951;CDU;136;NW;20
Sylvia;Canel;1958;FDP;;HH;2
Immacolata;Caravetta Glosemeyer;1965;SPD;;NI;43
Hans-Werner;Carlhoff;1947;CDU;;BW;38
Richard Hermann;Carls;1931;DVU;;NI;3
Christian;Carstensen;1973;SPD;22;HH;5
Olaf;Caspary;1967;DVU;;BE;3
Dr. Lars;Castellucci;1974;SPD;277;BW;22
Nicole;Cayrol;1980;SPD;;SL;28
Mario;Christen;1953;ödp;;BE;1
Rainer Helmar;Christiansen;1945;;80;;
Heiner Leslie Otto;Christinck;1946;FAMILIE;114;NW;3
Stefan;Christoph;1988;GRÜNE;234;BY;22
Rainer;Ciechoradzki;1965;ödp;;TH;5
Volker;Cigelski;1953;NPD;249;;
Antje;Claaßen;1968;DIE LINKE;295;;
Bernhard;Clasen;1957;DIE LINKE;110;;
Roland;Claus;1954;DIE LINKE;74;ST;4
Claus Christian;Claussen;1961;CDU;;SH;14
Stefan Georg;Clemens;1959;FAMILIE;;BY;12
Christine;Coelho;1964;VIOLETTEN;;BW;4
Ingrid;Cölsch;1954;VIOLETTEN;80;BE;1
Gitta;Connemann;1964;CDU;26;NI;12
Gabriele Maria;Conrad;1960;MLPD;271;;
Anna;Conrads;1979;DIE LINKE;;NW;19
Michael;Conz;1966;FDP;258;BW;17
Florian;Cordes;1975;NPD;29;;
Walter;Corné de;1944;Volksabst.;;NW;6
Eva-Maria;Corr;1956;FAMILIE;;RP;3
Lino;Coscia;1988;;41;;
Thorsten;Crämer;1975;NPD;139;;
Viola;Cramon-Taubadel von;1970;GRÜNE;53;NI;7
Claus;Cremer;1979;NPD;141;NW;1
Ruth;Cremer-Ricken;1958;GRÜNE;288;;
Petra;Crone;1950;SPD;150;NW;12
Corinna;Croy;1982;DIE LINKE;240;BY;17
Irfan;Cüre;1952;DIE LINKE;;HH;6
Jaroslav;Curlisca;1953;BP;;BY;15
Dieter;Cwielong;1957;DIE LINKE;3;;
Mechthild;Czapp;1982;PIRATEN;;NW;4
Michael;Czech;1955;DKP;;BE;10
Eberhard;Czichon;1930;DKP;;BE;11
Heinz;Dabrock;1956;FAMILIE;299;SL;1
Margit;Dänzer;1955;VIOLETTEN;;BW;6
Karl;Däschner;1954;NPD;278;;
Sevim;Dagdelen;1975;DIE LINKE;141;NW;7
Monika;Dahl;1965;DIE LINKE;98;NW;17
Benjamin;Dahlhoff;1978;GRÜNE;;HE;18
Thomas;Dahlmann;1960;SPD;;NW;60
Janosch;Dahmen;1981;GRÜNE;140;;
Dr. Claudia;Dalbert;1954;GRÜNE;73;ST;3
Bernhard;Daldrup;1956;SPD;131;NW;18
Michael;Dambacher;1979;CDU;;BW;39
Adolf;Dammann;1939;NPD;31;;
Dr. Peter;Danckert;1940;SPD;63;BB;3
Bernd;Dannemann;1944;FWD;;BB;4
Britta;Dassler;1964;FDP;242;BY;30
Helga;Daub;1942;FDP;149;NW;15
Gwenn Patrick;Dauen;1980;PIRATEN;;HB;2
Horst;Dauter;1943;;51;;
Leo;Dautzenberg;1950;CDU;90;NW;54
Elfriede Katharina;Daxlberger;1941;RRP;;BY;8
Diego;De Filippi;1978;Tierschutz;;BW;4
Christa;Debrand;1944;FAMILIE;;SL;4
Cornelia;Debus;1958;FDP;25;NI;14
Thomas Michael Matthias;Decker;1972;CDU;;NI;41
Wilhelm;Dedecke;1960;DIE LINKE;92;;
Klaus-Peter;Dehde;1959;SPD;;NI;34
Dr. Jörg-Diether;Dehm-Desoi;1950;DIE LINKE;;NI;1
Ekin;Deligöz;1971;GRÜNE;255;BY;5
Armin;Demele;1962;ödp;266;;
Erika;Demuth;1982;CDU;;RP;33
Hans Günter;Dennhoven;1950;;110;;
Christine;Denz;1948;GRÜNE;276;;
Theodor;Denzer;1951;FDP;;BY;57
Paul;Derabin;1988;CDU;;NI;37
Zeynep;Dere;1964;DIE LINKE;;NW;15
Tilla-Louise;Deter;1961;FDP;283;BW;23
Knut Matthias;Dethlefsen;1969;SPD;;SH;14
Wiltrud;Dettmer;1951;;67;;
Rudolf;Dettweiler;1950;;81;;
Michael;Detzler;1954;CDU;;SL;18
Holger;Deubel;1980;NPD;202;;
Andreas;Deuschle;1979;CDU;;BW;22
Ulrich;Deuschle;1952;REP;;BW;2
Paul;Deutsch;1951;MLPD;51;NI;3
Reiner Peter;Deutschmann;1953;FDP;157;SN;4
Arno;Dick;1962;SPD;;NI;60
Veronika;Dicke;1967;SPD;;SH;20
Dr. Charlotte;Didlap;1965;;30;;
Jens;Diebler;1966;FAMILIE;;BY;13
Gudrun;Diebold;1956;ödp;292;;
Jan;Dieckmann;1980;;102;;
Mali;Dieckmann;1984;;94;;
Sandro;Dierbeck;1975;FDP;162;;
Norman;Dießner;1971;GRÜNE;176;HE;10
Edeltraud;Dietert;1953;;212;;
Klaus;Dietrich;1936;NPD;186;;
Matthias;Dietrich;1971;ödp;290;BW;6
Rolf;Dietrich;1944;NPD;;ST;7
Christina;Diggance;1966;VIOLETTEN;;BW;3
Esther;Dilcher;1965;SPD;;HE;27
Dirk;Dillschneider;1974;CDU;;SL;6
Michael;Dimitrov;1973;FDP;108;NW;56
Erkan;Dinar;1980;DIE LINKE;241;;
Konrad Willibald;Dippel;1971;;235;;
Alfred;Dirks;1951;DIE LINKE;;NI;23
Frank Holger Kurt;Ditsche;1966;;78;;
Heidrun;Dittrich;1958;DIE LINKE;43;NI;3
Dr. Bijan;Djir-Sarai;1976;FDP;109;NW;13
Dr. Larissa;Dloczik;1967;ödp;;BE;4
Josef;Dobelmann;1957;GRÜNE;33;;
Wolfgang;Dobler;1954;FDP;295;BW;26
Alexander;Dobrindt;1970;CSU;226;BY;5
Wolfgang;Döcke;1954;FDP;69;;
Sebastian;Döhring;1980;NPD;;BE;10
Prof. Dr. Martina;Dören;1959;SPD;;BE;12
Thomas;Dörflinger;1965;CDU;288;;
Patrick;Döring;1973;FDP;43;NI;5
Waltraud;Döring;1952;ödp;;TH;9
Wilfried;Döring;1953;ödp;;TH;13
Axel;Dörken;1967;;132;;
Peter J.;Dörken;1938;RRP;215;BY;14
Helmut;Dörlitz;1963;DVU;;HH;4
Martin;Dörmann;1962;SPD;94;NW;54
Katja;Dörner;1976;GRÜNE;97;NW;5
Uwe;Dörnhöfer;1969;SPD;215;BY;44
Joachim;Dörr;1968;SPD;;SL;22
Vera Nadja;Döscher;1972;FDP;;SN;5
Marie-Luise;Dött;1953;CDU;118;NW;9
Norbert;Dohmen;1951;GRÜNE;;NW;32
Helmut-Hartwig;Doll;1948;DIE LINKE;31;;
Pauli;Doll;1956;BP;226;;
Norbert;Domes;1950;DIE LINKE;169;;
Dennis;Dormuth;1980;NPD;130;;
Hubert;Dorn;1956;BP;;BY;11
Bernd;Dorst;1950;;241;;
Horst;Dotten;1957;MLPD;120;;
Thomas;Dotzler;1965;BP;236;BY;6
Alexander Ewald;Drage van;1980;REP;;BY;13
Wolf-Henry;Dreblow;1958;FDP;74;ST;6
Jochen;Dreetz;1956;GRÜNE;74;ST;6
Werner;Dreibus;1947;DIE LINKE;180;HE;4
Dr. Artur;Dreischer;1928;Volksabst.;;BW;1
Dr. Ulrich;Drerup;1951;CDU;;SH;22
Max Jürgen;Drescher;1968;FDP;;RP;27
Dr. Carl-Christian;Dressel;1970;SPD;238;BY;19
Hans-Joachim;Drewes;1936;RRP;;HB;3
Gerhard;Drexler;1964;FDP;227;BY;15
Heidi;Drinkard;1946;NPD;262;;
Klaus Willy;Drinkmann;1937;RENTNER;;NW;8
